t,A_metal,B_metal,sigma_metal,C_metal,A_gas,B_gas,sigma_gas,C_gas
1.25,17022932.454910308,-17022290.906837195,2.1108395056123173,-123650.90164898294,8525192.948172629,-8524578.619849099,-1.8405720270113985,-81376.3599665084
1.26,16862352.991890572,-16861712.071516704,2.1052040953281823,-123140.09125592884,8547966.712996002,-8547352.90585492,-1.8409025825500052,-81564.91424427896
1.27,17280071.28441115,-17279430.983472705,2.1175605326241413,-124725.88442564878,8598551.813216437,-8597938.523589635,-1.8427453770034152,-81884.47221778045
1.28,17065989.153147902,-17065349.46619307,2.1104088142766044,-124015.52747571553,9059450.902540486,-9058838.124280225,-1.8661606821074335,-84129.1521662593
1.29,15390071.942954462,-15389432.867215395,-2.0559527766817025,-117826.12450187342,8838164.274315331,-8837552.005622318,-1.8538044113908545,-83168.95591542768
1.3,12119846.063250259,-12119207.594303919,-1.936089247200434,-104603.04794276146,10463199.099578764,-10462587.333280204,-1.9330383874128807,-90577.32809731876
1.31,15140128.06143786,-15139490.18797436,-2.046579577887007,-116975.11718821392,8744029.011665042,-8743417.74859402,-1.8472711760219753,-82865.12093195182
1.32,9026444.324746475,-9025807.052187493,-1.797498295277053,-90343.30454515056,8867705.176455507,-8867094.410004407,-1.8530359426897427,-83517.08456724396
1.33,16821233.359303284,-16820596.66660632,-2.100363410037989,-123408.61023492078,8738812.65154748,-8738202.378488244,-1.8455288047007938,-82972.39708314874
1.34,17043341.37448634,-17042705.263015263,-2.1068821009613776,-124267.74494060341,9282105.384454485,-9281495.600472856,-1.872913083401096,-85580.51778944964
1.35,15170254.975070028,-15169619.442338064,-2.045975311929895,-117278.79346540678,8498983.934802618,-8498374.63803276,-1.8313349390671991,-81947.81551140253
1.36,16924703.564032733,-16924068.602915376,-2.1024617460913557,-123921.92131669227,8665365.47689423,-8664756.661682893,-1.8396045861207309,-82805.2731480226
1.37,16779747.45331494,-16779113.06023762,-2.0976029921520256,-123429.57101353852,9348786.946472509,-9348178.608852474,-1.874284812347222,-86070.68876378068
1.38,16366203.212359965,-16365569.38317511,-2.0842205482193035,-121935.47992934461,8920058.318257686,-8919450.456075879,-1.8517617844487164,-84127.68719111288
1.39,13550099.221937329,-13549465.953003395,-1.9876851809950211,-110973.87151936558,8568286.225904038,-8567678.8355837,-1.8326085251795003,-82503.0866138918
1.4,10735447.328344079,-10734814.616335757,-1.8748311692264223,-98795.44399323595,8437113.760182451,-8436506.838019332,-1.8249799042084731,-81918.88214483547
1.41,15470729.771746432,-15470097.60367606,-2.05428035688804,-118641.6107424252,8698986.161961172,-8698379.704009859,-1.8384672791178693,-83230.95735547607
1.42,12992544.148666415,-12991912.527769256,-1.9661837904044481,-108742.94739055894,8419923.793648364,-8419317.79726689,-1.8229936678571501,-81930.39711095054
1.43,12909861.425687514,-12909230.344819617,-1.9628545823004988,-108417.28601768226,8549783.456582028,-8549177.917996217,-1.8294976374763894,-82605.73309833766
1.44,10612466.07197886,-10611835.530055396,-1.8686623512214204,-98309.55191388102,8417593.357513303,-8416988.27369402,-1.8218929155259427,-82007.1468062845
1.45,11128455.863472631,-11127825.852424407,-1.890872865110638,-100688.9283892519,8622681.216855614,-8622076.583415665,-1.8324617750234584,-83042.31260677411
1.46,14235771.17526177,-14235141.687543299,-2.0110453464257203,-113906.31225309352,8504779.997495942,-8504175.813211188,-1.8257036778669724,-82512.82214503438
1.47,14164563.954496378,-14163934.990318505,-2.0083998806933745,-113635.05320408316,8498094.836807214,-8497491.096377835,-1.8249371274357742,-82517.39133105984
1.48,14639867.70750487,-14639239.26202403,-2.0249686694166305,-115539.0305938637,8687249.43628095,-8686646.13771064,-1.8346238893549414,-83468.76301635486
1.49,12131801.985165171,-12131174.057456741,-1.9317873490476816,-105180.51657028506,8743878.157116849,-8743275.297792826,-1.8372220971999702,-83776.49207332701
1.5,11341656.039513545,-11341028.62389791,-1.8994089269318526,-101702.41268734219,8519221.868891083,-8518619.445227206,-1.8249208481501038,-82725.09276959283
1.51,11714343.554430548,-11713716.645796241,-1.914808051569089,-103366.48662162876,8413859.750842612,-8413257.760516979,-1.8188896774263787,-82243.38006220228
1.52,8561059.627848027,-8560433.228487257,-1.770090028072997,-88360.00753599028,8495090.577062601,-8494489.01688296,-1.822939891953482,-82670.31220093534
1.53,12356705.359006507,-12356079.453098401,-1.9405389316791246,-106170.5488652865,8405622.277110994,-8405021.144044414,-1.817799752630424,-82261.82853386119
1.54,11310890.660085313,-11310265.25131663,-1.898028436954774,-101575.51840128202,8558153.377048576,-8557552.667960947,-1.8257110706691733,-83032.86589912196
1.55,10463694.013849292,-10463069.099193726,-1.861379710060682,-97694.14721884523,8399250.474675976,-8398650.187291762,-1.8168785470871953,-82283.30313484641
1.56,10451247.093363518,-10450622.667665904,-1.8608547968917273,-97633.28576245395,8510235.13341051,-8509635.26478798,-1.8225976025228021,-82850.13354623133
1.57,9007450.062422657,-9006826.124815924,-1.7928553634554567,-90630.61463796576,8458149.051774014,-8457549.599107133,-1.819549196666159,-82618.70414380584
1.58,8741150.288521456,-8740526.833428431,-1.7794803478390706,-89274.67816303691,8434657.178074995,-8434058.139262363,-1.8180439306847722,-82525.65525799998
1.59,9441554.377003303,-9440931.398534456,-1.8142591922399829,-92777.58112402851,7972082.851621088,-7971484.224353953,-1.792315801057098,-80248.39008890779
1.6,9226812.239526331,-9226189.737019854,-1.8039103919602504,-91708.06089976121,8392262.514331458,-8391664.294512771,-1.8153293021598111,-82356.56816275523
1.61,10384133.321528768,-10383511.289166009,-1.858213912683341,-97283.68993356805,7630468.233264083,-7629870.420865187,-1.7723671629666344,-78543.4880354845
1.62,8596706.84722768,-8596085.28675554,-1.7724189234761927,-88500.06505827652,6357017.598430597,-6356420.192756358,-1.6929219734384362,-71699.00149359705
1.63,8602061.35560072,-8601440.260450417,-1.7728164688205914,-88516.03657490571,4484363.68085366,-4483766.683613695,-1.5509561332941197,-60220.09777643302
1.64,9092910.626844913,-9092289.993160743,-1.7977734843979596,-90995.1768018902,7663351.624485934,-7662755.013325252,-1.7738142514540343,-78754.7836036384
1.65,8501844.042861473,-8501223.869652843,-1.7678909667863447,-87972.33484108251,6800570.379110719,-6799974.166509784,-1.7213703558471325,-74197.0929241176
1.66,8432714.949911391,-8432095.233090881,-1.7644319812917575,-87598.86781031614,5179368.445713482,-5178772.632060038,-1.6076709541257501,-64752.60082027162
